condition,cum_lr_post_intro_eval_integral,cum_lr_to_hop2_95_eval_integral,cum_update_ratio_post_intro_eval_integral,cum_update_ratio_to_hop2_95_eval_integral,final_floor_hop2_acc,final_hop1_acc,final_hop2_acc,final_hop2_loss,intro_step,loss_drop_start_to_min,loss_drop_start_to_tail,lr_intro_formula,lr_tail_mean,max_excess_slope_per_1k_steps,max_slope_end_step,max_steps,norm_t10_peak_excess,norm_t50_peak_excess,norm_t90_peak_excess,norm_width_t90_minus_t10,peak_hop2_excess,post_intro_loss_min,post_intro_loss_start,rewarm_step,run_dir,schedule,seed,t_hop2_acc_ge_0.50,t_hop2_acc_ge_0.80,t_hop2_acc_ge_0.95,t_hop2_acc_ge_0.99,t_hop2_excess_ge_0.03,t_hop2_excess_ge_0.10,t_hop2_excess_ge_0.50,t_hop2_excess_ge_0.80,t_schedule,tail_floor_hop2_acc,tail_hop2_acc,tail_hop2_excess,tail_hop2_loss
late_gate_post_seed5,19.999000000000148,15.400000000000084,,,0.1357421875,1.0,0.99609375,0.01790743377932813,16000,27.04765669428525,27.033064674966774,0.001,0.0010000000000000007,2.685546875,16050,36000,27600,28200,31300,3700,0.87451171875,0.007160386212490266,27.05481708049774,16000,runs/behavioral_replication_v0_9/s5/rewarm_late/late_gate_post_seed5,warmup_cosine_then_rewarm_constant,5,27950,29400,31400,32150,17000,27600,28350,31400,30000,0.13729248046875,0.995819091796875,0.858526611328125,0.021752405530969555
late_gate_post_seed5,19.999000000000148,11.850000000000033,,,0.13427734375,0.9990234375,0.9970703125,0.014333618064483744,16000,25.32287993735008,25.31354836592933,0.001,0.0010000000000000007,2.7685546875,16050,36000,27000,27500,27800,800,0.880126953125,0.0005732505924243014,25.323453187942505,16000,runs/behavioral_replication_v0_9/s5/rewarm_reset_late/late_gate_post_seed5,warmup_cosine_then_rewarm_constant_reset_optim,5,27450,27750,27850,28150,16300,27150,27550,27800,30000,0.13353271484375,0.99803466796875,0.864501953125,0.009904822013174908
late_gate_post_seed5,2.375684722264067,,,,0.1435546875,1.0,0.173828125,2.1766339391469955,16000,25.590725108981133,25.57133825675205,0.0004628064124873411,9.150904276806911e-06,2.6806640625,16100,29500,,,,,0.05517578125,2.1714463979005814,27.762171506881714,,runs/behavioral_replication_v0_9/s5/s1_late_original/late_gate_post_seed5,warmup_cosine,5,,,,,17250,,,,30000,0.14418764467592593,0.17259837962962962,0.028410734953703703,2.1908332501296646
late_gate_post_seed5,4.539327995532026,,,,0.14892578125,1.0,0.2109375,1.9102707728743553,16000,29.225084766745567,29.208466755971312,0.0006009064556902949,7.497028416212647e-06,1.552734375,16150,36000,,,,,0.084716796875,1.9072281271219254,31.132312893867493,,runs/behavioral_replication_v0_9/s5/s1_longcos_late/late_gate_post_seed5,warmup_cosine,5,,,,,16650,,,,36000,0.14197998046875,0.206488037109375,0.064508056640625,1.9238461378961802
late_gate_post_seed5,2.408303548944861,,,,0.13671875,1.0,0.17041015625,2.1705292314291,16000,25.61490833759308,25.58560640476644,0.0004628064124873411,5.000000000000005e-06,2.6806640625,16100,36000,,,,,0.0576171875,2.1472631692886353,27.762171506881714,,runs/behavioral_replication_v0_9/s5/s1_plateau_late/late_gate_post_seed5,warmup_cosine,5,,,,,17250,,,,30000,0.14302978515625,0.17486572265625,0.0318359375,2.1765651021152737
late_gate_post_seed5,19.999000000000148,,,,0.14208984375,0.99951171875,0.169677734375,1.9517773985862732,16000,28.04203623533249,28.019247292168437,0.001,0.0010000000000000007,2.71484375,16050,36000,,,,,0.054443359375,1.9517773985862732,29.993813633918762,,runs/behavioral_replication_v0_9/s5/s2_constant_late/late_gate_post_seed5,warmup_constant,5,,,,,16500,,,,30000,0.143212890625,0.162213134765625,0.019000244140625,1.9745663417503239
fresh_singlehop_late_seed6,2.375684722264067,,,,0.13818359375,1.0,0.0,21.870998859405518,16000,2.685846760869026,-15.732005563047196,0.0004628064124873411,9.150904276806911e-06,0.771484375,20400,29500,,,,,0.0,3.4713318198919296,6.157178580760956,,runs/behavioral_replication_v0_9/s6/fresh_hop1_s1/fresh_singlehop_late_seed6,warmup_cosine,6,,,,,,,,,30000,0.13708043981481483,0.0,-0.13708043981481483,21.88918414380815
late_gate_post_seed6,19.999000000000148,12.550000000000043,,,0.1396484375,0.999755859375,0.99658203125,0.017268239163968246,16000,28.504796760982572,28.488159388264013,0.001,0.0010000000000000007,1.3232421875,16150,36000,25950,26900,28450,2500,0.87890625,0.004498940998018952,28.50929570198059,16000,runs/behavioral_replication_v0_9/s6/rewarm_late/late_gate_post_seed6,warmup_cosine_then_rewarm_constant,6,26700,28100,28550,29850,16900,26000,27100,28450,30000,0.1353271484375,0.995880126953125,0.860552978515625,0.021136313716579026
late_gate_post_seed6,19.999000000000148,9.349999999999998,,,0.150390625,1.0,0.999267578125,0.0045047087314742384,16000,26.973978192563663,26.963943000151392,0.001,0.0010000000000000007,6.26953125,25250,36000,24450,25250,25300,850,0.883544921875,0.0001828362983360421,26.974161028862,16000,runs/behavioral_replication_v0_9/s6/rewarm_reset_late/late_gate_post_seed6,warmup_cosine_then_rewarm_constant_reset_optim,6,25200,25250,25350,25750,16900,24800,25250,25300,30000,0.13629150390625,0.99874267578125,0.862451171875,0.010218028710607997
late_gate_post_seed6,2.375684722264067,,,,0.1376953125,0.999755859375,0.1669921875,2.1517497897148132,16000,26.98249500989914,26.955209265152615,0.0004628064124873411,9.150904276806911e-06,0.9130859375,16300,29500,,,,,0.047607421875,2.1241788268089294,29.10667383670807,,runs/behavioral_replication_v0_9/s6/s1_late_original/late_gate_post_seed6,warmup_cosine,6,,,,,17000,,,,30000,0.1449291087962963,0.16539171006944445,0.020462601273148147,2.1514645715554557
late_gate_post_seed6,4.539327995532026,,,,0.14306640625,1.0,0.210205078125,1.963032715022564,16000,27.876262933015823,27.859186331555247,0.0006009064556902949,7.497028416212647e-06,1.064453125,32900,36000,,,,,0.078857421875,1.953317254781723,29.829580187797546,,runs/behavioral_replication_v0_9/s6/s1_longcos_late/late_gate_post_seed6,warmup_cosine,6,,,,,16800,,,,36000,0.13975830078125,0.20186767578125,0.062109375,1.9703938562422991
late_gate_post_seed6,2.408303548944861,,,,0.1416015625,0.99951171875,0.168212890625,2.132803663611412,16000,26.988240599632263,26.970529983751476,0.0004628064124873411,5.000000000000005e-06,0.9130859375,16300,36000,,,,,0.047607421875,2.1184332370758057,29.10667383670807,,runs/behavioral_replication_v0_9/s6/s1_plateau_late/late_gate_post_seed6,warmup_cosine,6,,,,,17000,,,,30000,0.14217529296875,0.164892578125,0.02271728515625,2.136143852956593
late_gate_post_seed6,19.999000000000148,10.100000000000009,,,0.14697265625,1.0,0.99853515625,0.021142012734344462,16000,26.943281681313238,26.930404846593582,0.001,0.0010000000000000007,1.8896484375,25800,36000,25050,25750,26050,1000,0.887451171875,0.0011442592003731988,26.94442594051361,,runs/behavioral_replication_v0_9/s6/s2_constant_late/late_gate_post_seed6,warmup_constant,6,25650,25900,26100,26400,17950,25150,25750,26050,30000,0.135302734375,0.997967529296875,0.862664794921875,0.014021093920030125
fresh_singlehop_late_seed7,2.375684722264067,,,,0.1513671875,1.0,0.0,20.599114418029785,16000,4.109932035207748,-12.997432039843666,0.0004628064124873411,9.150904276806911e-06,0.5078125,23650,29500,,,,,0.0,3.4728492200374603,7.582781255245209,,runs/behavioral_replication_v0_9/s7/fresh_hop1_s1/fresh_singlehop_late_seed7,warmup_cosine,7,,,,,,,,,30000,0.13901548032407407,0.0,-0.13901548032407407,20.580213295088875
late_gate_post_seed7,19.999000000000148,7.399999999999982,,,0.13037109375,0.9990234375,0.999267578125,0.0029835324039595434,16000,29.882869882471027,29.87425611512663,0.001,0.0010000000000000007,8.134765625,23250,36000,22950,23250,23350,400,0.881591796875,6.027709775935364e-05,29.882930159568787,16000,runs/behavioral_replication_v0_9/s7/rewarm_late/late_gate_post_seed7,warmup_cosine_then_rewarm_constant,7,23250,23300,23400,23600,16750,23000,23250,23400,30000,0.13609619140625,0.9991455078125,0.86304931640625,0.008674044442156515
late_gate_post_seed7,19.999000000000148,7.4499999999999815,,,0.13671875,1.0,0.99853515625,0.005935115967531601,16000,28.753782341989677,28.748236797138325,0.001,0.0010000000000000007,9.248046875,23400,36000,23100,23400,23450,350,0.88232421875,8.194634040137316e-05,28.753864288330078,16000,runs/behavioral_replication_v0_9/s7/rewarm_reset_late/late_gate_post_seed7,warmup_cosine_then_rewarm_constant_reset_optim,7,23400,23400,23450,23600,16600,23300,23400,23450,30000,0.1354248046875,0.99925537109375,0.86383056640625,0.0056274911917540745
late_gate_post_seed7,2.375684722264067,,,,0.14501953125,1.0,0.180908203125,2.018296517431736,16000,28.335332103073597,28.309469284834684,0.0004628064124873411,9.150904276806911e-06,1.30859375,16150,29500,,,,,0.061279296875,2.002182774245739,30.337514877319336,,runs/behavioral_replication_v0_9/s7/s1_late_original/late_gate_post_seed7,warmup_cosine,7,,,,,16900,,,,30000,0.14158347800925927,0.18123372395833334,0.03965024594907408,2.0280455924846508
late_gate_post_seed7,4.539327995532026,,,,0.1572265625,1.0,0.208984375,1.8820259645581245,16000,27.0716720148921,27.050416785292327,0.0006009064556902949,7.497028416212647e-06,1.513671875,16150,36000,,,,,0.099609375,1.8619381859898567,28.933610200881958,,runs/behavioral_replication_v0_9/s7/s1_longcos_late/late_gate_post_seed7,warmup_cosine,7,,,,,17050,,,,36000,0.14105224609375,0.21448974609375,0.0734375,1.8831934155896306
late_gate_post_seed7,2.408303548944861,,,,0.1494140625,1.0,0.179443359375,2.0163522362709045,16000,28.33780337870121,28.319290168955924,0.0004628064124873411,5.000000000000005e-06,1.30859375,16150,36000,,,,,0.066162109375,1.999711498618126,30.337514877319336,,runs/behavioral_replication_v0_9/s7/s1_plateau_late/late_gate_post_seed7,warmup_cosine,7,,,,,16900,,,,30000,0.1408935546875,0.1814208984375,0.04052734375,2.0182247083634137
late_gate_post_seed7,19.999000000000148,6.949999999999983,,,0.1337890625,0.999755859375,0.998779296875,0.008244749276968832,16000,26.757370207071506,26.751841650097074,0.001,0.0010000000000000007,7.08984375,22850,36000,22500,22850,22900,400,0.8837890625,1.0993478660736855e-06,26.757371306419373,,runs/behavioral_replication_v0_9/s7/s2_constant_late/late_gate_post_seed7,warmup_constant,7,22850,22900,22950,23150,16850,22650,22850,22900,30000,0.134765625,0.999322509765625,0.864556884765625,0.005529656322298138
